,week_start,region,avg_temp,google_trend_score,marketing_spend,store_visits,holiday_flag,sales,quarter
0,2/1/2022,North,16.14835858,77.73149609,59.47721667,171.2879432,0,524.6980942,2022Q1
1,9/1/2022,North,13.4982033,56.72154481,42.96159719,129.7138099,0,478.0797022,2022Q1
2,16-01-2022,North,20.15555279,63.5831063,41.75680844,138.3807823,1,506.2849176,2022Q1
3,23-01-2022,North,18.85293018,47.8550546,83.28566803,140.2178332,1,512.270721,2022Q1
4,30-01-2022,North,16.32414004,98.69156907,14.11283941,168.9597066,0,517.4032326,2022Q1
5,6/2/2022,North,14.55132595,84.23264287,87.29765919,154.0532892,0,531.889504,2022Q1
6,13-02-2022,North,23.96278979,59.43319824,29.07244051,130.2343374,0,472.5988151,2022Q1
7,20-02-2022,North,12.69272514,72.5904056,63.96908283,160.2769125,0,479.9309324,2022Q1
8,27-02-2022,North,21.84440228,94.62656674,67.44616466,162.0913684,0,540.218577,2022Q1
9,6/3/2022,North,12.66490578,41.86484842,31.51891748,136.7807843,0,447.7318535,2022Q1
10,13-03-2022,North,24.88908181,72.60403095,72.5958527,154.4380185,1,535.3032075,2022Q1
11,20-03-2022,North,19.21608526,92.03411928,37.23145148,167.7134309,0,564.1994491,2022Q1
12,27-03-2022,North,5.689038847,86.04221329,41.25183192,163.0345958,0,489.5357268,2022Q1
13,3/4/2022,North,13.2410963,72.25733617,57.73157497,187.1779064,0,505.0612202,2022Q2
14,10/4/2022,North,22.08355314,54.57826344,31.55515948,136.4552184,1,528.9512347,2022Q2
15,17-04-2022,North,25.76613154,74.39588868,77.64202585,143.5715193,0,539.1509845,2022Q2
16,24-04-2022,North,17.09664756,49.01888678,52.4685516,146.264942,0,502.2393373,2022Q2
17,1/5/2022,North,18.20964754,82.74881806,32.62807574,134.8454499,0,502.4394964,2022Q2
18,8/5/2022,North,33.6158093,67.69995314,40.09009415,129.6076831,0,526.6632464,2022Q2
19,15-05-2022,North,9.790381553,60.0589253,54.55565135,128.2503377,0,457.5728086,2022Q2
20,22-05-2022,North,14.69171016,76.86123473,55.34366557,154.6728855,0,530.0589018,2022Q2
21,29-05-2022,North,10.01464781,75.07033988,95.17207141,186.0451057,0,494.5757213,2022Q2
22,5/6/2022,North,18.49972862,59.66208684,69.203894,134.3857818,0,502.5018746,2022Q2
23,12/6/2022,North,21.51855708,77.68635599,64.4158227,152.1478345,0,516.1471141,2022Q2
24,19-06-2022,North,17.08480546,82.86254877,66.75572224,140.5103426,1,514.0218735,2022Q2
25,26-06-2022,North,18.11046362,67.84806656,63.54544232,165.3672322,0,523.3418303,2022Q2
26,3/7/2022,North,14.13693026,80.15779098,87.44638235,163.5137811,0,500.8698851,2022Q3
